@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
9950,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.82662,ok
9950,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.898424,ok
9950,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
9952,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.896373,ok
9952,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.859919,ok
9952,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.90433,ok
9952,1,6409_weka.FilteredClassifier_NaiveBayes,0.760363,ok
9952,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.74963,ok
9952,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.912657,ok
9952,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.868986,ok
9954,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.8425,ok
9954,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.475,ok
9954,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.765625,ok
9954,1,6409_weka.FilteredClassifier_NaiveBayes,0.854375,ok
9954,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.825625,ok
9954,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.865625,ok
9954,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
9955,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.715625,ok
9955,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.416875,ok
9955,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.6425,ok
9955,1,6409_weka.FilteredClassifier_NaiveBayes,0.53875,ok
9955,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.651875,ok
9955,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.646875,ok
9955,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
9956,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.863039,ok
9956,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.517824,ok
9956,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.79925,ok
9956,1,6409_weka.FilteredClassifier_NaiveBayes,0.742339,ok
9956,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.833021,ok
9956,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.827392,ok
9956,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
9957,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.869194,ok
9957,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.841706,ok
